Site,Park,Treat,YEAR,TRTYR,Depth,ConDis,MeadDis,CattDis
RPT39,2,4,2017,417,42.5,1.683968672,0.468491033,0.943439439
RPT40,2,4,2017,417,44,1.638815836,1.062246517,1.099568719
LPT05,1,4,2018,418,43,1.873265461,1.989662063,1.875675026
LPT06,1,4,2018,418,43,1.874698004,1.998432174,1.897623661
LPT07,1,4,2018,418,44,1.84730741,1.960440582,1.561460755
LPT08,1,4,2018,418,40,1.718090932,1.794985045,1.345956548
LPT09,1,4,2018,418,34,1.901281522,0.717050642,0.837526619
LPT10,1,4,2018,418,41,1.831915841,1.84429091,0.578442913
LPT11,1,4,2018,418,44,1.875417807,1.999084167,1.898239509
LPT12,1,4,2018,418,39,1.766577542,1.830893667,1.766465691
LPT13,1,4,2018,418,39,1.849768653,1.989599743,1.823560946
LPT14,1,4,2018,418,43,1.801934367,1.958795634,1.739112827
LPT15,1,4,2018,418,35,1.780660869,1.902703605,1.533789812
LPT16,1,4,2018,418,31,1.800500664,1.907535991,1.574728871
LPT17,1,4,2018,418,5,1.083728858,1.971586472,1.225675015
LPT18,1,4,2018,418,40,1.784467359,1.791588088,1.727129641
LPT19,1,4,2018,418,62,1.756637624,1.794998071,2.383485532
LPT20,1,4,2018,418,38,1.828596785,0.882328047,0.629237703
LPT41,1,4,2018,418,32,1.682848611,1.679331479,1.127992087
LPT42,1,4,2018,418,47,1.795065311,1.8571433,1.611377968
LPT43,1,4,2018,418,39,1.807075788,1.906103211,1.787544967
LPT44,1,4,2018,418,29,1.86460915,1.9671173,1.582677092
RPC16,2,4,2018,418,48,1.530927893,0.650670971,0.757925488
RPT21,2,4,2018,418,64,1.86070517,1.949954878,1.807530979
RPT22,2,4,2018,418,53,1.818673918,1.876241472,1.716581898
RPT23,2,4,2018,418,61,1.818673918,1.876241472,1.716581898
RPT24,2,4,2018,418,58,1.818673918,1.876241472,1.716581898
RPT25,2,4,2018,418,53,1.805074946,0.51882228,0.950435895
RPT26,2,4,2018,418,86,1.727729146,0.893185046,0.599665304
RPT27,2,4,2018,418,65,1.883430676,0.345248761,1.301752067
RPT28,2,4,2018,418,39,1.808508265,1.778814007,1.369039188
RPT29,2,4,2018,418,40,1.797608773,1.778118995,1.43187959
RPT30,2,4,2018,418,58,1.81124322,1.754774029,1.439877643
RPT31,2,4,2018,418,45,1.818673918,1.876241472,1.716581898
RPT32,2,4,2018,418,34,1.724084549,0.881693886,0.967245763
RPT33,2,4,2018,418,57,1.812851245,0.516927691,0.958804863
RPT34,2,4,2018,418,45,1.7566023,1.350773116,1.725106823
RPT35,2,4,2018,418,61,1.774303014,0.581900887,1.116235103
RPT36,2,4,2018,418,92,1.706257327,0.574048455,0.827782885
RPT37,2,4,2018,418,47,1.786580803,0.697498084,0.745411291
RPT38,2,4,2018,418,61,1.832737883,0.498022926,1.104607204
RPT39,2,4,2018,418,45,0.743925085,0.985464513,1.084949167
RPT40,2,4,2018,418,46,1.699992907,0.831115568,0.937713294
